VMP550T,VMP550L,VMP2750T,VMP2750L,VMP5500T,VMP5500L,SVI550_055T,SVI550_055L,SVI2750_055T,SVI2750_055L,SVI5500_055T,SVI5500_055L,SVI550_075T,SVI550_075L,SVI2750_075T,SVI2750_075L,SVI5500_075T,SVI5500_075L,SVI550_099T,SVI550_099L,SVI2750_099T,SVI2750_099L,SVI5500_099T,SVI5500_099L
1723.344159,-43814.50029,2032.612197,43172.69771,,,1041.453495,-986563.6784,1919.906411,-1161445.257,,,1036.048107,-1180567.306,1908.405657,-1117130.438,,,1029.170348,-1729943.231,1878.786904,-1959595.234,,
1752.884285,-40696.44535,,,,,1062.546897,-970474.6951,1962.141008,-1158805.698,,,1056.666177,-4535514.104,1941.196943,-1110655.349,,,1047.185713,-1715539.922,1915.538916,-1953311.167,,
1782.034573,-37235.07731,,,,,1082.251248,-1090066.777,2001.234751,-1176125.786,,,1078.17648,-4668831.208,1978.558062,-1106493.253,,,1068.179626,-1747089.281,1947.408223,-1957997.877,,
1810.370292,-33689.03848,,,,,1102.421595,-1141242.6,,,,,1098.754072,-1189985.803,2017.460933,-1102734.284,,,1086.760455,-1721944.13,1979.552362,-1965339.431,,
1838.147256,-29744.47693,,,,,1123.632903,-1151488.25,,,,,1117.707484,-4868188.814,,,,,1106.26531,-1747714.474,2017.359623,-1971151.956,,
1867.736389,-25707.5361,,,,,1144.650077,-1086875.337,,,,,1138.803684,-5255400.093,,,,,1126.150052,-1710410.002,,,,
1892.469369,-22262.46496,,,,,1165.255399,-1180037.229,,,,,1159.187455,-1161476.562,,,,,1144.620972,-1713405.805,,,,
1920.071994,-17708.99038,,,,,1184.156245,-1235951.955,,,,,1180.818146,-4941761.414,,,,,1165.474358,-1725789.694,,,,
1948.123536,-13260.59555,,,,,1205.361156,-1223818.457,,,,,1202.213658,-3541915.988,,,,,1185.116253,-1728329.648,,,,
1976.903039,-8057.218582,,,,,1226.827913,-1285507.914,,,,,1222.603683,-3703561.857,,,,,1205.456882,-1757444.264,,,,
2004.316367,-2484.764189,,,,,1247.551954,-1052986.371,,,,,1242.914201,-3757537.269,,,,,1225.379837,-1901820.805,,,,
,,,,,,1268.204692,-1121565.032,,,,,1263.596243,-3742709.298,,,,,1245.454776,-1713912.99,,,,
,,,,,,1288.795467,-1395954.266,,,,,1283.190643,-2921376.617,,,,,1266.63524,-1906946.928,,,,
,,,,,,1308.503097,-1241821.751,,,,,1303.592299,-3069515.887,,,,,1287.487997,-1898191.232,,,,
,,,,,,1330.371737,-1172728.992,,,,,1324.287651,-1106723.576,,,,,1306.503743,-1711728.947,,,,
,,,,,,1351.160423,-1529628.457,,,,,1344.150633,-3210002.837,,,,,1326.301483,-1951602.822,,,,
,,,,,,1372.089011,-1239991.011,,,,,1364.222633,-3247381.012,,,,,1346.571304,-1902257.399,,,,
,,,,,,1393.742741,-1458749.225,,,,,1386.081992,-3270049.301,,,,,1365.61213,-1945383.879,,,,
,,,,,,1414.214388,-1445269.316,,,,,1406.548518,-1131377.29,,,,,1386.562212,-1752938.181,,,,
,,,,,,1434.563423,-1030456.937,,,,,1426.831105,-3434027.312,,,,,1407.872332,-1756683.247,,,,
,,,,,,1455.157837,-1145759.452,,,,,1446.935332,-3491107.51,,,,,1428.65239,-1962292.932,,,,
,,,,,,1476.357799,-1187727.746,,,,,1468.258071,-3323648.347,,,,,1448.687739,-1967400.905,,,,
,,,,,,1497.431899,-1039657.514,,,,,1488.421392,-3422227.526,,,,,1469.839163,-1754912.09,,,,
,,,,,,1518.512999,-1086845.202,,,,,1508.736147,-1072670.88,,,,,1489.779882,-1754880.231,,,,
,,,,,,1539.961312,-1112409.534,,,,,1528.673598,-3575089.133,,,,,1509.994481,-1698074.51,,,,
,,,,,,1561.578963,-1263613.245,,,,,1549.837366,-1062433.521,,,,,1530.383795,-1706282.551,,,,
,,,,,,1582.481241,-1449863.455,,,,,1570.245208,-1063917.094,,,,,1550.309489,-1688892.998,,,,
,,,,,,1602.745389,-1203268.494,,,,,1590.932848,-2601607.507,,,,,1572.106093,-1909024.099,,,,
,,,,,,1624.137176,-1221526.837,,,,,1611.711831,-2654498.78,,,,,1593.511487,-1693893.441,,,,
,,,,,,1644.319198,-1602188.432,,,,,1630.110466,-2731563.264,,,,,1611.555049,-1715049.73,,,,
,,,,,,1665.009539,-1265138.663,,,,,1650.633398,-2775176.55,,,,,1632.162691,-1635936.599,,,,
,,,,,,1686.107865,-1333149.484,,,,,1671.354185,-2817348.198,,,,,1650.756325,-1640628.748,,,,
,,,,,,1707.597318,-1381831.561,,,,,1691.039628,-2892306.591,,,,,1672.955839,-1852323.213,,,,
,,,,,,1728.392464,-1260764.426,,,,,1710.570834,-1115995.439,,,,,1694.914096,-1853098.452,,,,
,,,,,,1748.362706,-1405769.612,,,,,1731.542435,-2986408.987,,,,,1716.71297,-1928398.983,,,,
,,,,,,1768.937067,-1298827.725,,,,,1752.515387,-3002601.206,,,,,1738.240888,-1857255.518,,,,
,,,,,,1789.739583,-1314509.35,,,,,1773.244941,-2993488.378,,,,,1759.721621,-1852311.495,,,,
,,,,,,1810.817639,-1602856.008,,,,,1794.989845,-3041471.545,,,,,1780.873163,-1566757.789,,,,
,,,,,,1829.85202,-1371425.469,,,,,1814.439014,-961433.3829,,,,,1800.303911,-1577136.194,,,,
,,,,,,1847.783724,-1682121.268,,,,,1835.887062,-3270312.214,,,,,1821.482279,-1565507.512,,,,
,,,,,,1868.13753,-1767916.976,,,,,1855.188226,-3313434.818,,,,,1842.18362,-1569011.578,,,,
,,,,,,1887.731236,-1858097.536,,,,,1874.012626,-987682.9233,,,,,1863.637943,-1927290.615,,,,
,,,,,,1909.801493,-1567417.406,,,,,1894.895277,-3440719.435,,,,,1884.162077,-1927435.07,,,,
,,,,,,1930.229977,-1707016.83,,,,,1915.626496,-3490370.433,,,,,1905.274894,-1863785.283,,,,
,,,,,,1951.159807,-1778767.792,,,,,1935.742527,-959244.0407,,,,,1925.570218,-1937830.126,,,,
,,,,,,1972.90093,-2244161.702,,,,,1955.786949,-981963.9182,,,,,1945.243903,-1872095.71,,,,
,,,,,,1994.484627,-2045590.963,,,,,1976.896019,-3589431.336,,,,,1966.02324,-1631612.871,,,,
,,,,,,2013.682741,-2324633.722,,,,,1998.146739,-3630533.366,,,,,1985.053115,-1561964.73,,,,
,,,,,,,,,,,,2018.960918,-3495995.802,,,,,2007.576132,-1882733.143,,,,
